APMC,Commodity,Year,date,modal_price,Type,msprice,fluctuation,Relative_fluctuation
Dondaicha,Bajri,2014,2014-11,1420,Kharif Crops,1250.0,212,16
Beed,Bajri,2016,2016-07,1729,Kharif Crops,1330.0,211,13
Pathari,Wheat(Husked),2014,2014-09,1611,Rabi Crops,1450.0,211,15
Jalgaon,Sorgum(Jawar),2016,2016-10,1658,Kharif Crops,1650.0,211,13
Jalna,Wheat(Husked),2016,2016-03,1986,Rabi Crops,,211,11
Chalisgaon,Sorgum(Jawar),2016,2016-10,1335,Kharif Crops,1650.0,211,16
Maregaon,Cotton,2016,2016-02,4368,Kharif Crops,3860.0,211,5
Vani,Cotton,2014,2014-11,3951,Kharif Crops,3750.0,211,6
Indapur,Bajri,2016,2016-05,1924,Kharif Crops,1330.0,211,12
Shahada,Wheat(Husked),2014,2014-12,1647,Rabi Crops,1450.0,211,13
Gevrai,Mustard,2015,2015-03,3240,Rabi Crops,3350.0,211,7
Manora,Wheat(Husked),2014,2014-09,1439,Rabi Crops,1450.0,211,15
Khamgaon,Wheat(Husked),2015,2015-03,1333,Rabi Crops,1525.0,211,16
Yeola,Maize,2014,2014-11,1072,Kharif Crops,1310.0,211,20
Akola,Sorgum(Jawar),2015,2015-09,1300,Kharif Crops,1590.0,211,17
Mangrulpeer,Sorgum(Jawar),2015,2015-05,1299,Kharif Crops,1590.0,211,18
Taloda,Maize,2014,2014-10,1148,Kharif Crops,1310.0,211,19
Vaduj,Sorgum(Jawar),2016,2016-11,2350,Kharif Crops,1650.0,211,9
Washim,Sorgum(Jawar),2015,2015-08,1236,Kharif Crops,1590.0,211,17
Daryapur,Sorgum(Jawar),2015,2015-12,1536,Kharif Crops,1590.0,211,15
Chalisgaon,Sorgum(Jawar),2015,2015-08,1327,Kharif Crops,1590.0,211,17
Shirpur,Maize,2015,2015-11,1342,Kharif Crops,1325.0,211,17
Yeola,Bajri,2014,2014-11,1347,Kharif Crops,1250.0,211,16
Gangapur,Sorgum(Jawar),2016,2016-05,1762,Kharif Crops,1650.0,211,12
Nandurbar,Maize,2015,2015-10,1192,Kharif Crops,1325.0,211,18
Devala,Maize,2015,2015-02,1242,Kharif Crops,1325.0,211,18
Kej,Sorgum(Jawar),2016,2016-05,1860,Kharif Crops,1650.0,211,12
Amarawati,Sunflower,2015,2015-08,2815,Kharif Crops,3800.0,211,8
